"species","family","class","included_in_analysis"
"Anaxyrus_baxteri","Bufonidae","Amphibia",FALSE
"Anaxyrus_boreas","Bufonidae","Amphibia",TRUE
"Anaxyrus_californicus","Bufonidae","Amphibia",TRUE
"Anaxyrus_canorus","Bufonidae","Amphibia",TRUE
"Anaxyrus_cognatus","Bufonidae","Amphibia",TRUE
"Anaxyrus_compactilis","Bufonidae","Amphibia",TRUE
"Anaxyrus_debilis","Bufonidae","Amphibia",TRUE
"Anaxyrus_exsul","Bufonidae","Amphibia",TRUE
"Anaxyrus_fowleri","Bufonidae","Amphibia",TRUE
"Anaxyrus_hemiophrys","Bufonidae","Amphibia",TRUE
"Anaxyrus_houstonensis","Bufonidae","Amphibia",TRUE
"Anaxyrus_kelloggi","Bufonidae","Amphibia",TRUE
"Anaxyrus_mexicanus","Bufonidae","Amphibia",TRUE
"Anaxyrus_microscaphus","Bufonidae","Amphibia",TRUE
"Anaxyrus_nelsoni","Bufonidae","Amphibia",FALSE
"Anaxyrus_punctatus","Bufonidae","Amphibia",TRUE
"Anaxyrus_quercicus","Bufonidae","Amphibia",TRUE
"Anaxyrus_retiformis","Bufonidae","Amphibia",TRUE
"Anaxyrus_speciosus","Bufonidae","Amphibia",TRUE
"Anaxyrus_terrestris","Bufonidae","Amphibia",TRUE
"Anaxyrus_woodhousii","Bufonidae","Amphibia",TRUE
"Andinobates_abditus","Dendrobatidae","Amphibia",FALSE
"Andinobates_altobueyensis","Dendrobatidae","Amphibia",FALSE
"Andinobates_bombetes","Dendrobatidae","Amphibia",FALSE
"Andinobates_claudiae","Dendrobatidae","Amphibia",FALSE
"Andinobates_daleswansoni","Dendrobatidae","Amphibia",FALSE
"Andinobates_dorisswansonae","Dendrobatidae","Amphibia",FALSE
"Andinobates_fulguritus","Dendrobatidae","Amphibia",FALSE
"Andinobates_minutus","Dendrobatidae","Amphibia",FALSE
"Andinobates_opisthomelas","Dendrobatidae","Amphibia",FALSE
"Andinobates_tolimensis","Dendrobatidae","Amphibia",FALSE
"Andinobates_viridis","Dendrobatidae","Amphibia",FALSE
"Andinobates_virolinensis","Dendrobatidae","Amphibia",FALSE
"Andinophryne_atelopoides","Bufonidae","Amphibia",TRUE
"Andinophryne_colomai","Bufonidae","Amphibia",TRUE
"Andinophryne_olallai","Bufonidae","Amphibia",TRUE
"Aneides_aeneus","Plethodontidae","Amphibia",TRUE
"Aneides_ferreus","Plethodontidae","Amphibia",TRUE
"Aneides_flavipunctatus","Plethodontidae","Amphibia",TRUE
"Aneides_hardii","Plethodontidae","Amphibia",TRUE
"Aneides_lugubris","Plethodontidae","Amphibia",TRUE
"Aneides_vagrans","Plethodontidae","Amphibia",TRUE
"Anomaloglossus_atopoglossus","Aromobatidae","Amphibia",TRUE
"Anomaloglossus_ayarzaguenai","Aromobatidae","Amphibia",FALSE
"Anomaloglossus_baeobatrachus","Aromobatidae","Amphibia",TRUE
"Anomaloglossus_beebei","Aromobatidae","Amphibia",TRUE
"Anomaloglossus_breweri","Aromobatidae","Amphibia",TRUE
"Anomaloglossus_degranvillei","Aromobatidae","Amphibia",TRUE
"Anomaloglossus_guanayensis","Aromobatidae","Amphibia",TRUE
"Anomaloglossus_kaiei","Aromobatidae","Amphibia",TRUE
"Anomaloglossus_lacrimosus","Aromobatidae","Amphibia",FALSE
"Anomaloglossus_murisipanensis","Aromobatidae","Amphibia",FALSE
"Anomaloglossus_parimae","Aromobatidae","Amphibia",TRUE
"Anomaloglossus_parkerae","Aromobatidae","Amphibia",TRUE
"Anomaloglossus_praderioi","Aromobatidae","Amphibia",TRUE
"Anomaloglossus_roraima","Aromobatidae","Amphibia",FALSE
"Anomaloglossus_rufulus","Aromobatidae","Amphibia",FALSE
"Anomaloglossus_shrevei","Aromobatidae","Amphibia",TRUE
"Anomaloglossus_stepheni","Aromobatidae","Amphibia",TRUE
"Anomaloglossus_tamacuarensis","Aromobatidae","Amphibia",TRUE
"Anomaloglossus_tepuyensis","Aromobatidae","Amphibia",TRUE
"Anomaloglossus_triunfo","Aromobatidae","Amphibia",TRUE
"Anomaloglossus_wothuja","Aromobatidae","Amphibia",TRUE
"Anotheca_spinosa","Hylidae","Amphibia",TRUE
"Aparasphenodon_bokermanni","Hylidae","Amphibia",TRUE
"Aparasphenodon_brunoi","Hylidae","Amphibia",TRUE
"Aparasphenodon_venezolanus","Hylidae","Amphibia",TRUE
"Aplastodiscus_albofrenatus","Hylidae","Amphibia",TRUE
"Aplastodiscus_albosignatus","Hylidae","Amphibia",TRUE
"Aplastodiscus_arildae","Hylidae","Amphibia",TRUE
"Aplastodiscus_callipygius","Hylidae","Amphibia",TRUE
"Aplastodiscus_cavicola","Hylidae","Amphibia",TRUE
"Aplastodiscus_cochranae","Hylidae","Amphibia",TRUE
"Aplastodiscus_ehrhardti","Hylidae","Amphibia",TRUE
"Aplastodiscus_eugenioi","Hylidae","Amphibia",TRUE
"Aplastodiscus_flumineus","Hylidae","Amphibia",TRUE
"Aplastodiscus_ibirapitanga","Hylidae","Amphibia",TRUE
"Aplastodiscus_leucopygius","Hylidae","Amphibia",TRUE
"Aplastodiscus_musicus","Hylidae","Amphibia",TRUE
"Aplastodiscus_perviridis","Hylidae","Amphibia",TRUE
"Aplastodiscus_sibilatus","Hylidae","Amphibia",TRUE
"Aplastodiscus_weygoldti","Hylidae","Amphibia",TRUE
"Arcovomer_passarellii","Microhylidae","Amphibia",TRUE
"Argenteohyla_siemersi","Hylidae","Amphibia",TRUE
"Aromobates_alboguttatus","Aromobatidae","Amphibia",TRUE
"Aromobates_capurinensis","Aromobatidae","Amphibia",FALSE
"Aromobates_duranti","Aromobatidae","Amphibia",TRUE
"Aromobates_haydeeae","Aromobatidae","Amphibia",FALSE
"Aromobates_leopardalis","Aromobatidae","Amphibia",FALSE
"Aromobates_mayorgai","Aromobatidae","Amphibia",TRUE
"Aromobates_meridensis","Aromobatidae","Amphibia",TRUE
"Aromobates_molinarii","Aromobatidae","Amphibia",TRUE
"Aromobates_nocturnus","Aromobatidae","Amphibia",TRUE
"Aromobates_orostoma","Aromobatidae","Amphibia",FALSE
"Aromobates_saltuensis","Aromobatidae","Amphibia",TRUE
"Aromobates_serranus","Aromobatidae","Amphibia",TRUE
"Ascaphus_montanus","Leiopelmatidae","Amphibia",TRUE
"Ascaphus_truei","Leiopelmatidae","Amphibia",TRUE
"Atelognathus_ceii","Ceratophryidae","Amphibia",TRUE
"Atelognathus_jeinimenensis","Ceratophryidae","Amphibia",TRUE
"Atelognathus_nitoi","Ceratophryidae","Amphibia",FALSE
"Atelognathus_patagonicus","Ceratophryidae","Amphibia",TRUE
"Atelognathus_praebasalticus","Ceratophryidae","Amphibia",FALSE
"Atelognathus_reverberii","Ceratophryidae","Amphibia",FALSE
"Atelognathus_salai","Ceratophryidae","Amphibia",TRUE
"Atelognathus_solitarius","Ceratophryidae","Amphibia",FALSE
"Atelopus_andinus","Bufonidae","Amphibia",TRUE
"Atelopus_angelito","Bufonidae","Amphibia",TRUE
"Atelopus_ardila","Bufonidae","Amphibia",FALSE
"Atelopus_arsyecue","Bufonidae","Amphibia",TRUE
"Atelopus_arthuri","Bufonidae","Amphibia",TRUE
"Atelopus_balios","Bufonidae","Amphibia",TRUE
"Atelopus_bomolochos","Bufonidae","Amphibia",TRUE
"Atelopus_boulengeri","Bufonidae","Amphibia",TRUE
"Atelopus_carauta","Bufonidae","Amphibia",TRUE
"Atelopus_carbonerensis","Bufonidae","Amphibia",TRUE
"Atelopus_carrikeri","Bufonidae","Amphibia",TRUE
"Atelopus_certus","Bufonidae","Amphibia",TRUE
"Atelopus_chiriquiensis","Bufonidae","Amphibia",TRUE
"Atelopus_chirripoensis","Bufonidae","Amphibia",FALSE
"Atelopus_chocoensis","Bufonidae","Amphibia",TRUE
"Atelopus_chrysocorallus","Bufonidae","Amphibia",TRUE
"Atelopus_coynei","Bufonidae","Amphibia",TRUE
"Atelopus_cruciger","Bufonidae","Amphibia",TRUE
"Atelopus_dimorphus","Bufonidae","Amphibia",TRUE
"Atelopus_ebenoides","Bufonidae","Amphibia",TRUE
"Atelopus_elegans","Bufonidae","Amphibia",TRUE
"Atelopus_epikeisthos","Bufonidae","Amphibia",FALSE
"Atelopus_erythropus","Bufonidae","Amphibia",TRUE
"Atelopus_eusebianus","Bufonidae","Amphibia",TRUE
"Atelopus_eusebiodiazi","Bufonidae","Amphibia",FALSE
"Atelopus_exiguus","Bufonidae","Amphibia",TRUE
"Atelopus_famelicus","Bufonidae","Amphibia",TRUE
"Atelopus_farci","Bufonidae","Amphibia",TRUE
"Atelopus_flavescens","Bufonidae","Amphibia",TRUE
"Atelopus_franciscus","Bufonidae","Amphibia",TRUE
"Atelopus_galactogaster","Bufonidae","Amphibia",TRUE
"Atelopus_gigas","Bufonidae","Amphibia",FALSE
"Atelopus_glyphus","Bufonidae","Amphibia",TRUE
"Atelopus_guanujo","Bufonidae","Amphibia",TRUE
"Atelopus_guitarraensis","Bufonidae","Amphibia",TRUE
"Atelopus_halihelos","Bufonidae","Amphibia",TRUE
"Atelopus_ignescens","Bufonidae","Amphibia",FALSE
"Atelopus_laetissimus","Bufonidae","Amphibia",TRUE
"Atelopus_limosus","Bufonidae","Amphibia",TRUE
"Atelopus_longibrachius","Bufonidae","Amphibia",TRUE
"Atelopus_longirostris","Bufonidae","Amphibia",FALSE
"Atelopus_lozanoi","Bufonidae","Amphibia",TRUE
"Atelopus_lynchi","Bufonidae","Amphibia",TRUE
"Atelopus_mandingues","Bufonidae","Amphibia",TRUE
"Atelopus_mindoensis","Bufonidae","Amphibia",TRUE
"Atelopus_minutulus","Bufonidae","Amphibia",TRUE
"Atelopus_mittermeieri","Bufonidae","Amphibia",FALSE
"Atelopus_monohernandezii","Bufonidae","Amphibia",TRUE
"Atelopus_mucubajiensis","Bufonidae","Amphibia",TRUE
"Atelopus_muisca","Bufonidae","Amphibia",TRUE
"Atelopus_nahumae","Bufonidae","Amphibia",TRUE
"Atelopus_nanay","Bufonidae","Amphibia",TRUE
"Atelopus_nepiozomus","Bufonidae","Amphibia",TRUE
"Atelopus_nicefori","Bufonidae","Amphibia",TRUE
"Atelopus_onorei","Bufonidae","Amphibia",FALSE
"Atelopus_orcesi","Bufonidae","Amphibia",FALSE
"Atelopus_oxapampae","Bufonidae","Amphibia",TRUE
"Atelopus_oxyrhynchus","Bufonidae","Amphibia",TRUE
"Atelopus_pachydermus","Bufonidae","Amphibia",TRUE
"Atelopus_palmatus","Bufonidae","Amphibia",TRUE
"Atelopus_pastuso","Bufonidae","Amphibia",FALSE
"Atelopus_patazensis","Bufonidae","Amphibia",TRUE
"Atelopus_pedimarmoratus","Bufonidae","Amphibia",TRUE
"Atelopus_peruensis","Bufonidae","Amphibia",TRUE
"Atelopus_petersi","Bufonidae","Amphibia",FALSE
"Atelopus_petriruizi","Bufonidae","Amphibia",TRUE
"Atelopus_pictiventris","Bufonidae","Amphibia",TRUE
"Atelopus_pinangoi","Bufonidae","Amphibia",TRUE
"Atelopus_planispina","Bufonidae","Amphibia",TRUE
"Atelopus_podocarpus","Bufonidae","Amphibia",FALSE
"Atelopus_pulcher","Bufonidae","Amphibia",TRUE
"Atelopus_pyrodactylus","Bufonidae","Amphibia",FALSE
"Atelopus_quimbaya","Bufonidae","Amphibia",TRUE
"Atelopus_reticulatus","Bufonidae","Amphibia",TRUE
"Atelopus_sanjosei","Bufonidae","Amphibia",TRUE
"Atelopus_seminiferus","Bufonidae","Amphibia",TRUE
"Atelopus_senex","Bufonidae","Amphibia",TRUE
"Atelopus_sernai","Bufonidae","Amphibia",TRUE
"Atelopus_simulatus","Bufonidae","Amphibia",TRUE
"Atelopus_siranus","Bufonidae","Amphibia",TRUE
"Atelopus_sonsonensis","Bufonidae","Amphibia",TRUE
"Atelopus_sorianoi","Bufonidae","Amphibia",TRUE
"Atelopus_spumarius","Bufonidae","Amphibia",TRUE
"Atelopus_spurrelli","Bufonidae","Amphibia",TRUE
"Atelopus_subornatus","Bufonidae","Amphibia",TRUE
"Atelopus_tamaense","Bufonidae","Amphibia",TRUE
"Atelopus_tricolor","Bufonidae","Amphibia",TRUE
"Atelopus_varius","Bufonidae","Amphibia",TRUE
"Atelopus_vogli","Bufonidae","Amphibia",FALSE
"Atelopus_walkeri","Bufonidae","Amphibia",TRUE
"Atelopus_zeteki","Bufonidae","Amphibia",TRUE
"Atopophrynus_syntomopus","Strabomantidae","Amphibia",TRUE
"Barycholos_pulcher","Strabomantidae","Amphibia",TRUE
"Barycholos_ternetzi","Strabomantidae","Amphibia",FALSE
"Batrachoseps_attenuatus","Plethodontidae","Amphibia",TRUE
"Batrachoseps_campi","Plethodontidae","Amphibia",TRUE
"Batrachoseps_diabolicus","Plethodontidae","Amphibia",TRUE
"Batrachoseps_gabrieli","Plethodontidae","Amphibia",TRUE
"Batrachoseps_gavilanensis","Plethodontidae","Amphibia",TRUE
"Batrachoseps_gregarius","Plethodontidae","Amphibia",TRUE
"Batrachoseps_incognitus","Plethodontidae","Amphibia",TRUE
"Batrachoseps_kawia","Plethodontidae","Amphibia",FALSE
"Batrachoseps_luciae","Plethodontidae","Amphibia",TRUE
"Batrachoseps_major","Plethodontidae","Amphibia",TRUE
"Batrachoseps_minor","Plethodontidae","Amphibia",TRUE
"Batrachoseps_nigriventris","Plethodontidae","Amphibia",TRUE
"Batrachoseps_pacificus","Plethodontidae","Amphibia",TRUE
"Batrachoseps_regius","Plethodontidae","Amphibia",FALSE
"Batrachoseps_relictus","Plethodontidae","Amphibia",FALSE
"Batrachoseps_robustus","Plethodontidae","Amphibia",FALSE
"Batrachoseps_simatus","Plethodontidae","Amphibia",TRUE
"Batrachoseps_stebbinsi","Plethodontidae","Amphibia",TRUE
"Batrachoseps_wrighti","Plethodontidae","Amphibia",TRUE
"Batrachyla_antartandica","Ceratophryidae","Amphibia",FALSE
"Batrachyla_fitzroya","Ceratophryidae","Amphibia",TRUE
"Batrachyla_leptopus","Ceratophryidae","Amphibia",FALSE
"Batrachyla_nibaldoi","Ceratophryidae","Amphibia",FALSE
"Batrachyla_taeniata","Ceratophryidae","Amphibia",TRUE
"Bokermannohyla_ahenea","Hylidae","Amphibia",TRUE
"Bokermannohyla_alvarengai","Hylidae","Amphibia",TRUE
"Bokermannohyla_astartea","Hylidae","Amphibia",TRUE
"Bokermannohyla_caramaschii","Hylidae","Amphibia",TRUE
"Bokermannohyla_carvalhoi","Hylidae","Amphibia",TRUE
"Bokermannohyla_circumdata","Hylidae","Amphibia",TRUE
"Bokermannohyla_claresignata","Hylidae","Amphibia",TRUE
"Bokermannohyla_clepsydra","Hylidae","Amphibia",TRUE
"Bokermannohyla_diamantina","Hylidae","Amphibia",TRUE
"Bokermannohyla_feioi","Hylidae","Amphibia",TRUE
"Bokermannohyla_gouveai","Hylidae","Amphibia",TRUE
